,GBP,HKD,IDR,ILS,DKK,INR,CHF,MXN,CZK,SGD,THB,HRK,EUR,MYR,NOK,CNY,BGN,PHP,PLN,ZAR,CAD,ISK,BRL,RON,NZD,TRY,JPY,RUB,KRW,USD,AUD,HUF,SEK
2020-04-07,0.8093063849,7.7520440974,16135.0022967386,3.5992650436,6.8603582912,75.5645383555,0.9721635278,24.2688102894,25.0022967386,1.4240698209,32.7652733119,7.0114836932,0.9186954525,4.3424896647,10.1924666973,7.055764814,1.7967845659,50.4501607717,4.1668350942,18.3590261828,1.4018373909,142.6734037667,5.2069820854,4.4386770785,1.6683509417,6.7581074874,108.9113458888,75.8543867708,1212.1175930179,1.0,1.6148828663,328.5438677079,9.9943040882
2020-04-06,0.8136409971,7.7519228987,16412.5011583727,3.6274673339,6.9187285701,76.0874803077,0.9785932722,25.1038828654,25.5796497081,1.434528774,32.8597905662,7.0665369289,0.9266981744,4.364470392,10.552775461,7.0910017607,1.8124362895,50.6598091002,4.2297284774,18.8614586229,1.4159948105,144.1015661199,5.2873691039,4.479195626,1.6865906774,6.7774997683,108.9241034195,76.4349921231,1228.8388471875,1.0,1.6485960523,338.4672412195,10.1740339172
2020-04-05,0.8145572554,7.7538247566,16614.4459898006,3.6408901252,6.9252665739,76.2318034307,0.9779323134,24.6147426982,25.5345387112,1.4361613352,33.0097357441,7.0746407047,0.9272137228,4.3584608252,10.4430227167,7.0909596662,1.813444599,50.815948076,4.2433936022,18.7892443208,1.4185442745,144.3671766342,5.2751970329,4.4790913306,1.7082058414,6.7033843301,108.5767269356,76.7802503477,1235.8089939731,1.0,1.6693555865,338.5720908669,10.1548446917
2020-04-04,0.8145572554,7.7538247566,16614.4459898006,3.6408901252,6.9252665739,76.2318034307,0.9779323134,24.6147426982,25.5345387112,1.4361613352,33.0097357441,7.0746407047,0.9272137228,4.3584608252,10.4430227167,7.0909596662,1.813444599,50.815948076,4.2433936022,18.7892443208,1.4185442745,144.3671766342,5.2751970329,4.4790913306,1.7082058414,6.7033843301,108.5767269356,76.7802503477,1235.8089939731,1.0,1.6693555865,338.5720908669,10.1548446917
2020-04-03,0.8145572554,7.7538247566,16614.4459898006,3.6408901252,6.9252665739,76.2318034307,0.9779323134,24.6147426982,25.5345387112,1.4361613352,33.0097357441,7.0746407047,0.9272137228,4.3584608252,10.4430227167,7.0909596662,1.813444599,50.815948076,4.2433936022,18.7892443208,1.4185442745,144.3671766342,5.2751970329,4.4790913306,1.7082058414,6.7033843301,108.5767269356,76.7802503477,1235.8089939731,1.0,1.6693555865,338.5720908669,10.1548446917
2020-04-02,0.8044929397,7.7521547772,16656.9961489089,3.6472583899,6.8458646617,76.4038144141,0.9674491106,24.2984595635,25.2640748212,1.4319640565,32.9735925179,6.9966073721,0.9169264625,4.3576013204,10.3012103429,7.0958188153,1.7933247754,50.8756647717,4.1900788557,18.5008252338,1.4167430772,142.3986796259,5.2285897671,4.4305886668,1.6853108381,6.6628461397,107.3354117,78.709426004,1228.5714285714,1.0,1.6477168531,333.5136622043,10.0187969925
2020-04-01,0.8088880761,7.75246891,16678.5021945867,3.5675749817,6.8253474762,76.4451353328,0.9659839064,24.1493233358,25.0265179225,1.434619605,33.0202999268,6.9755852231,0.9144111192,4.3575347476,10.3040416971,7.1006766642,1.788405267,50.9409290417,4.1893745428,17.9790599854,1.4265727871,142.7395757132,5.2440563277,4.4202633504,1.6959583029,6.6683430871,107.4890270666,79.0737015362,1231.2362838332,1.0,1.6507863936,337.7468910022,10.0007315289
2020-03-31,0.8090817817,7.7532858708,16310.0036509675,3.5613362541,6.8158086893,75.6649324571,0.9661372764,23.8930266521,24.9288061336,1.4268893757,32.7902519168,6.96011318,0.9127418766,4.3200073019,10.5056589996,7.0996714129,1.7851405622,50.9903249361,4.1535231836,17.8984118291,1.4254289887,142.0226359985,5.2027199708,4.4069916028,1.6809967141,6.5774917853,108.5250091274,78.4488864549,1224.0142387733,1.0,1.6399233297,328.6053304126,10.0961117196
2020-03-30,0.805691499,7.7541236179,16393.0034439007,3.5838317926,6.7669929309,75.6751857894,0.9580387892,23.7864781584,24.7553017945,1.4257748777,32.6998368679,6.911818017,0.9062896502,4.3326083016,10.5934384629,7.0996012326,1.7725212978,50.9298531811,4.124433569,17.8798259924,1.4161682074,139.8404930216,5.1215334421,4.3753851731,1.6680261011,6.5683342396,108.1566068515,79.8790103317,1224.8685880007,1.0,1.6332245786,325.1042233098,10.0031720138
2020-03-29,0.8175548875,7.752118065,16140.0018219914,3.5905074246,6.7965746561,75.4937596793,0.9639245696,23.5336612918,24.8692721144,1.4359114512,32.5854058486,6.9363213993,0.9109957183,4.3380705111,10.6183838936,7.0961100483,1.7817254259,51.1296346907,4.1273572014,17.6200236859,1.4139564544,140.2933406213,5.0929215633,4.4069417874,1.6897148583,6.4621481279,108.7364489387,78.6935410404,1226.4826455316,1.0,1.6588321035,323.9956272206,10.0353466339
2020-03-28,0.8175548875,7.752118065,16140.0018219914,3.5905074246,6.7965746561,75.4937596793,0.9639245696,23.5336612918,24.8692721144,1.4359114512,32.5854058486,6.9363213993,0.9109957183,4.3380705111,10.6183838936,7.0961100483,1.7817254259,51.1296346907,4.1273572014,17.6200236859,1.4139564544,140.2933406213,5.0929215633,4.4069417874,1.6897148583,6.4621481279,108.7364489387,78.6935410404,1226.4826455316,1.0,1.6588321035,323.9956272206,10.0353466339
2020-03-27,0.8175548875,7.752118065,16140.0018219914,3.5905074246,6.7965746561,75.4937596793,0.9639245696,23.5336612918,24.8692721144,1.4359114512,32.5854058486,6.9363213993,0.9109957183,4.3380705111,10.6183838936,7.0961100483,1.7817254259,51.1296346907,4.1273572014,17.6200236859,1.4139564544,140.2933406213,5.0929215633,4.4069417874,1.6897148583,6.4621481279,108.7364489387,78.6935410404,1226.4826455316,1.0,1.6588321035,323.9956272206,10.0353466339
2020-03-26,0.8318732356,7.7530279574,16106.0012749294,3.6048629451,6.7989254166,75.1611875057,0.9683999636,23.7441945178,25.0887897277,1.435115199,32.6345505874,6.9315180767,0.910663874,4.3350332392,10.4974956743,7.073581641,1.7810764047,50.9798743284,4.1661050906,17.4377561242,1.4084327475,139.7869046535,4.9909844276,4.4016938348,1.6874601585,6.4117111374,109.443584373,77.6887350879,1217.0658409981,1.0,1.6539477279,323.2765686185,10.0236772607
